Idx,A1S,A1E,A2S,A2E,A3S,A3E,A4S,A4E,A5S,A5E,A6S,A6E
47,1082423154,1716783567,867810609,1885314529,1385376030,1422386315,1274593696,1392927200,14049,56877,64,39346
48,561138056,1508269529,137343520,1338751714,1055350738,1467412114,1374997897,1453169721,11608,55900,6795,18543
49,1116457274,1321103921,981646137,1213255012,1481432022,1499231109,1415688044,1539479572,63600,67966,9210,54270
50,1346032492,1822227304,1190439405,1570139847,1267978845,1449448011,1235015469,1436262660,65066,77282,152,13228
51,394279654,1441526167,1187130124,1568154278,1406790640,1472245366,1289305900,1457978833,63438,76632,1229,39812
52,891061561,1640238931,897992485,1643011300,1411621269,1443382506,1417176843,1509127212,56792,79700,279,39432
53,1187919338,1568627808,1093145041,1721072323,1212786509,1427371076,1288855193,1457798552,53954,79134,112,39364
54,799080016,1335324214,899778922,1395743558,1394729203,1535287807,1339979787,1432158855,8710,54742,8040,19539
55,1173527823,1753225437,256462778,1386399419,1366803350,1448252992,1282943419,1512930647,36857,75713,3980,28602
56,1050948380,1486445232,135204442,1337896084,1319456423,1520233251,1206463462,1424841859,11532,41090,1092,26868
57,1280810563,1624362543,821842010,1612551110,1316338638,1519609694,1192959466,1419440260,39086,76158,9061,20355
58,1189348446,1759553685,354162860,1782584980,1381225201,1456906103,1306177697,1517577505,22387,72819,750,52578
59,1169145318,1557363396,615565407,1225215449,1439019567,1517864301,1472695994,1511788578,50043,71274,8134,54054
60,1009851361,1913722681,1192275446,1571241472,1172217096,1490785384,1298807584,1461779506,63499,81043,4809,16954
61,872636360,1886279680,1192461246,1760798805,1383152253,1458062335,1287690059,1513879975,52479,65659,6599,30173
62,1023955188,1916543448,132693546,1336891725,1407595643,1505294732,1218427397,1429627433,10214,25257,3717,16080
63,1118879839,1527204107,617005261,1835153461,1520830088,1560507984,1489196260,1554181216,643,34557,6398,18225
64,1181207423,1756297277,81822129,1728116833,1400797360,1502575417,1291127651,1458707534,12954,70934,5274,29378
65,437274086,1799207226,144378896,1341565865,1088593468,1474060660,1296864902,1515714946,12163,41469,2257,40222
66,732988606,1295669368,380145552,1083963536,1128671160,1482076196,1187558010,1417279677,14046,71150,9948,32182
67,500289166,1156049704,663276440,1549124882,1387927395,1497427431,1479561852,1534081215,49054,78154,7663,42385
68,800649775,1336266069,923215943,1653100685,1011509858,1458643938,1195053510,1420277877,7554,23129,3026,40529
69,1104457342,1518550610,207545518,1366832515,1091924159,1474726795,1402260138,1503160530,9074,24345,3953,28585
70,677200309,1847192469,509724641,1161710989,1435101721,1489232015,1187823841,1493906733,51755,71960,2411,27659
71,568597951,1825471999,1188625736,1759264601,1389389428,1461804640,1314350707,1467996757,51251,71756,9325,43051
72,406647036,1099864426,826654334,1351868804,1352882162,1526918398,1240310521,1504404069,35999,75543,4152,40980
73,865197965,1884792001,779716236,1867695656,1207573287,1425285789,1270188959,1510379755,53944,66538,6593,18381
74,553533551,1822459119,141157393,1340277265,1357357140,1442585266,1345106860,1480299217,820,17742,9647,54355
75,438791727,1459330998,1169132676,1751467377,1199590898,1422092834,1274142152,1511170396,51237,71751,5176,53460
76,572255449,1199229473,1099467849,1723601445,1232505697,1502843105,1436546905,1543651345,62028,71388,7949,42500
77,1167510232,1750818400,1026400490,1917032506,1386410190,1423213643,1278800639,1512102091,53168,72524,3584,28364
78,893691179,1890490643,1187127084,1949177824,1324156992,1521173364,1323659726,1471720364,26513,73645,9629,20810
79,458979352,1131263816,727097780,1857171964,1450585753,1498522435,1263213021,1508984569,46852,69997,4934,41294
80,388889895,1089210141,479881054,1143804836,1343760745,1434427429,1191154681,1342863791,58177,69077,9908,21033
81,845203187,1104100652,205709807,1366098230,1333025703,1522947107,1276502867,1511642539,37592,66293,7220,30546
82,508236361,1487108851,1013737037,1914499817,1124189808,1481179928,1403221293,1436662526,41880,68010,493,13501
83,638244844,1539112243,446012118,1123483476,1326774080,1521696780,1468467357,1509251397,65099,81363,5190,41397
84,1099370279,1723562417,1169961256,1363907107,1363580228,1529058012,1213829490,1427788269,10185,40283,6477,18288
85,884569264,1386617762,1213072112,1583719472,1304028741,1463867970,1329917084,1522325380,37696,75880,576,13567
86,333093888,1417051863,1331845382,1654983434,1377895988,1493414870,1349191312,1437685770,54627,66947,329,52493
87,1135467741,1336312295,1001727258,1229319909,1380491360,1494453017,1467474142,1488064805,53417,66221,7910,19435
88,942625550,1900277518,799081063,1335324843,1212029334,1427068206,1337710665,1477340739,6865,38291,5405,53509
89,128578180,1335245578,1068436560,1925439720,1354178085,1483927707,1381491987,1532640363,2812,19335,1436,39893
90,1292172446,1631179672,1169488789,1363529133,1089738397,1474289645,1402746861,1436282980,3081,36019,1862,52798
91,470105507,1137939509,588558619,1209011375,1482109323,1535100204,1415011621,1539344289,786,68498,5825,29709
92,1160752614,1943902930,540333799,1819819167,1383951443,1421246646,1276506896,1511643344,14161,71173,2452,52916
93,1188996728,1569274242,215933210,1754939050,952550303,1446852027,1299860299,1516314023,55642,79470,7982,54022
94,618046101,1835361629,826704115,1089301394,1003199278,1456981822,1191976828,1494737332,49816,78304,3613,15997
95,133204395,1337096064,673932650,1553387366,1077046543,1471751275,1375563988,1531454764,8502,39272,5200,41401
96,839676465,1099679274,712358283,1568757621,1199161340,1496174232,1356450793,1527632125,10697,70481,8094,31070
97,492664921,1151475157,788267948,1328836974,1397214778,1535784922,1472194998,1550780966,63937,72533,2167,27513
98,590896121,1520172755,505304469,1812813301,1182916872,1415423223,1276189823,1452732404,54599,73097,4583,41153
99,719652554,1571675327,1105303530,1519058322,1523707703,1542395605,1466242249,1549590413,12174,70778,1451,52715
100,563602621,1824472933,834245252,1095334304,1381334202,1456971504,1196050891,1420676830,65418,73422,566,13559
101,1212119222,1583147738,1320143306,1811871629,1329456621,1474039122,1490179033,1538328088,12291,56172,26,26228
102,914924651,1894737339,1280536232,1624197944,1237533038,1503848574,1222353056,1431197696,41081,76557,5433,53513
103,1089469638,1929646338,1364673037,1984687017,974613585,1451264681,1418435772,1479232446,56560,68108,456,52516
104,1109320866,1315394795,1184820875,1757742656,1180548255,1492451615,1269064148,1449882134,59556,75078,6288,41835
105,845649695,1363266021,1176458537,1947044117,1156456363,1487633239,1290481772,1514438320,11208,26052,5899,29753
106,110759055,1733904219,359595796,1071633682,1381499107,1494856117,1353172864,1526976536,2831,68907,5854,29726
107,840098068,1359935046,1286138180,1798269578,1152922360,1486926436,1362105865,1445434501,7009,38377,9178,42991
108,1004775103,1231758185,1157775201,1354158263,1322950734,1520932110,1466103891,1528698030,50344,78412,4561,53337
109,800301726,1603934997,124510972,1333618696,1404612297,1504101393,1360438378,1528429642,7896,54414,2951,15467
110,429056537,1797563717,609995630,1833751534,1450863014,1522601678,1350773828,1526496732,1631,51908,10113,54449
111,1020680365,1468284423,949177076,1187279763,1334922308,1523326428,1449256476,1546193260,55767,79495,142,39376
112,123628932,1333265880,720299607,1855812331,967953215,1449932607,1213214672,1427542343,8698,39390,9344,31820
113,917250537,1406226527,824737455,1087728066,998458383,1456033643,1194268509,1269500298,58544,80052,357,39462
114,516264211,1815005251,831645069,1093254157,1375833382,1414752197,1186605922,1340134536,62003,71373,8881,31541
115,312431224,1774238652,413071768,1103719266,1365571714,1447514010,1201892306,1275599336,63119,76505,8654,31406
116,122477026,1332805117,348395036,1781431416,1149784161,1486298797,1390190034,1498332486,11542,41096,3006,40521
117,193982929,1361407477,1191226765,1949997761,1395152591,1430207564,1280162981,1454321666,51234,71751,5755,17711
118,1154290849,1745530645,1347461533,1664353125,1350981626,1482649124,1402883245,1436392087,57526,68686,536,13535
119,519070238,1167318348,564244092,1824601228,1467133000,1487791891,1370270097,1530395985,36009,65661,914,39686
120,1028659122,1473071678,254607994,1385657503,1256151878,1444717226,1431998623,1487370157,62612,80864,342,39456
121,478872554,1143199736,624690867,1230690725,1449276179,1521966944,1435181812,1543378328,35800,65578,2276,14927
122,384629249,1086653753,192304469,1360736093,1312571420,1415713834,1192261314,1343527770,10525,70449,7720,19283
123,1088118653,1719061769,568450998,1196946804,1407593455,1537860655,1458050900,1503001522,38970,66846,8568,31354
124,527415236,1172325346,798659411,1603278071,1455289092,1501344438,1452264059,1523162096,16881,71717,2971,53019
125,1169448166,1945642042,471674813,1806087373,1244196942,1505181354,1279080217,1395619113,37496,66254,2109,14794
126,397250294,1094226380,835567830,1878865974,1333937350,1523129434,1304585007,1517258967,12574,70858,1722,40008
127,226656050,1757083618,47643531,1721281115,1318046855,1418999095,1275678810,1511477726,64612,77101,3835,53195
128,1337425824,1658331698,1387005096,1989153428,1456382499,1524809472,1484989617,1519164753,1769,18501,5484,53524
129,626487471,1534409295,1244568612,1960666132,1026415952,1461625156,1287736670,1457351141,60824,75587,2807,40442
130,521221075,1168608849,619332331,1227475603,1361228224,1528587608,1455891644,1524613130,61271,75764,898,13825
131,483789023,1477329917,69055201,1725563449,1506163918,1544722042,1417419019,1539825767,170,51326,4606,53346
132,1184278363,1757525653,1110099087,1933772227,960432509,1448428465,1336113899,1523564743,46363,69802,9917,43286
133,951258403,1188944825,1060003809,1707815829,1206021683,1497546303,1445167390,1520323429,43645,68716,2407,52907
134,682526318,1848257674,1209082058,1767447131,1328852064,1425482220,1274249939,1451956448,43978,77138,4773,53381
135,844720228,1362708342,847050080,1105578166,1414562787,1508081589,1352167315,1483123399,14892,71320,1904,14630
136,410955999,1102449803,49164351,1721585279,1395439928,1430437434,1201008199,1274892050,61588,75892,4028,28630
137,327326911,1414745071,806105674,1339539608,1380154601,1494318314,1225730997,1432548873,7448,38640,6658,41983
138,1276986010,1622067810,586096337,1518252842,1301063109,1516554585,1236019478,1436664266,39702,76282,10003,21109
139,838338481,1098608887,698623025,1563263516,982420961,1452826157,1189393741,1265600484,62734,67273,4977,29199
140,399099745,1095336051,114911447,1329778886,1242066506,1504755266,1228527007,1502047367,23690,73082,2036,27434
141,410712175,1102303509,597376237,1214301947,1410529304,1506468194,1374842289,1492193388,20324,72408,2824,52992
142,260246658,1763801742,679506054,1847653618,1188045110,1417474517,1277294536,1511800872,31313,74605,1944,40098
143,293649353,1401274049,398241280,1094820972,1189746619,1494291287,1372097712,1491095559,43008,76944,3917,53209
144,591837162,1520549172,799670634,1335678584,1218590998,1500060166,1380993578,1456767130,1587,51891,5302,53486
145,481847216,1144984534,858110043,1883374419,1400268034,1502363686,1463219837,1548985933,42056,68078,3801,53185
146,1270947339,1792193241,1123617264,1936475860,1314728154,1417007874,1253062226,1443481364,35454,75434,9074,42950
147,1167084912,1361606032,925190044,1896790416,1259374708,1446006358,1207421649,1425225132,7647,23203,3444,15862
148,475165038,1473880323,413040346,1103700412,1193850718,1495112110,1384574795,1533256923,53729,66409,4833,16973
149,742507196,1301380522,457969762,1130658062,1427494559,1541840875,1240584901,1504458945,2832,68908,3625,16007
150,1112878093,1934328029,1201861988,1389427693,1346931384,1481029026,1274455388,1452038630,64964,81336,5597,29571
151,446276061,1123641841,260878913,1388165873,1425157228,1512319366,1412622176,1507305344,57108,74100,3612,53148
152,1093673993,1512080601,1276994160,1794611970,1240927873,1438627624,1257049541,1507751873,38152,66517,1402,52706
153,426399084,1454373939,503315382,1157865434,1218273855,1499996735,1471016263,1510780741,59987,75251,8277,54081
154,884301762,1888612762,1188473015,1568960013,1186968203,1493735607,1329311022,1473980883,38535,76051,9727,54371
155,512302003,1488735109,140980128,1340206359,1337097426,1523761450,1214791854,1428173214,10994,40768,4350,16587
156,1313503382,1809215660,1371501903,1832415069,1249052769,1441877580,1257141918,1507770350,56732,79688,250,13307
157,1083827852,1295000384,767021924,1865156792,950736457,1446489257,1270845761,1330762100,14485,57052,57,39342
158,920932727,1408435841,810961697,1342453223,1377130386,1454449214,1333780378,1428439210,7357,38585,791,26687
159,453797566,1128154744,443725273,1122111369,1452340825,1523192803,1355066202,1527355206,42916,76924,4115,28683
160,453006916,1127680354,506841027,1813120615,1480581598,1516519942,1237907383,1503923443,49827,78307,2600,15187
161,1061258323,1492631199,1276908964,1449465273,1221531012,1430868879,1248955167,1441838541,55026,67186,1717,52769
162,843727811,1102920351,6115579,1712975523,1248878334,1441807806,1186455283,1263249718,61589,80661,9149,31703
163,156313289,1346339621,789181786,1869588766,1203916257,1423822977,1372638764,1491311978,12501,41671,1120,14003
164,495045193,1810761449,796933223,1334036139,1356589966,1484892460,1389113434,1461639042,7630,38750,5151,17227
165,1026735955,1917099599,1283602982,1626037994,1507641580,1520198755,1482439740,1535232369,78,34218,9501,43119
166,1199704373,1387701601,1089034991,1929559407,1260738677,1446551945,1276938101,1453031714,48781,78097,6685,41995
167,808825596,1341171562,576553125,1514435556,1361733689,1486949948,1352062927,1439408739,5730,53550,3560,40745
168,898765043,1891505419,1183410412,1757178472,1373960794,1491840790,1293054792,1459478391,45862,69601,3046,53034
169,745309413,1303061853,1258949292,1435097536,1260241957,1508390357,1279890878,1512320142,27386,73818,2930,27972
170,475273549,1141040333,657568903,1250417547,1348360897,1526014145,1412623696,1538866704,40678,76478,6895,53807
171,507300186,1160256316,860429863,1372134123,1437414531,1490619701,1257742311,1507890427,18750,72094,6460,53720
172,1139070349,1739442445,1251586746,1962069758,1449281064,1521968898,1502165034,1556774970,3,51258,6389,53705
173,734307247,1577537206,470802335,1138357605,1442108571,1493436125,1477276490,1495906683,65431,77428,1051,39739
174,1194200001,1761494307,426501045,1454414724,950202504,1446382464,1272585675,1451290743,42007,68059,9614,20798
175,1038965101,1479255265,949157231,1187263887,1346653556,1525672676,1441875046,1519006492,20916,72524,1859,14594
176,498901293,1155216981,695886375,1273408029,1351104887,1482698429,1481193404,1499040214,7982,69938,505,52529
177,268034540,1391028122,806906062,1340019842,1273766752,1451763175,1305718995,1464544071,7888,38904,6144,53656
178,886912828,1388023902,1189654767,1379661916,1106595054,1477660974,1271692738,1450933570,64421,68622,8894,42878
179,1275680806,1448482747,968909312,1437221792,1413221129,1444662394,1229196360,1433935017,37951,66436,9715,32043
180,490063063,1149914043,790247096,1330024462,1157644179,1487870799,1428913572,1513821903,53527,72667,8254,54078
181,1058603875,1274821202,954550385,1191578410,1474371370,1493582587,1419925673,1510226744,19240,72192,9710,43205
182,1180616350,1564246014,726708813,1574497833,1397591080,1535860180,1375824670,1453665784,60367,80415,933,13853
183,1391992011,1840611111,1128256964,1937403800,1308616670,1518065298,1361683408,1528678648,308,17332,10374,43470
184,87689059,1729290219,525927500,1171432704,1452240785,1523152787,1246659842,1505673934,65096,81360,1410,52710
185,397196214,1094193932,521772022,1816106814,1363679163,1529077799,1371419732,1530625912,42235,76791,5366,41465
186,1109526909,1521592349,1187126988,1377639693,1118407855,1480023535,1270116545,1510365273,46225,69748,5896,29750
187,601581435,1832068695,406218232,1099607144,1350536301,1482470994,1192531128,1268110394,29030,74150,6334,30014
188,1216599849,1770454245,1038354822,1478889098,1401571679,1502885144,1356832840,1442270686,18746,72090,483,26503
189,1213279591,1769126143,699514672,1563620176,1497338595,1526574139,1504531286,1544068988,2398,19004,4754,53378
190,1216193585,1770291740,807188660,1873190140,1393609685,1535063901,1287310273,1457180584,58948,74836,812,39644
191,845650418,1622074475,1252845205,1962321449,1482102810,1552762526,1488391330,1521205780,28,51268,10599,43560
192,101349576,1732022324,411651430,1102867062,1301866286,1516715222,1297883512,1515918668,62719,80887,6733,30253
193,1190735974,1570317788,1177978586,1562663356,1092794950,1474900954,1388454568,1534032880,27747,73891,9644,32000
194,399424867,1095531125,342910115,1780334431,1211569662,1498655898,1381856907,1494999237,30176,74376,329,39452
195,1269123311,1443236751,10785548,1713909520,1158339861,1488009937,1236426279,1436826984,52788,78900,4338,28816
196,454578417,1128623255,204637737,1752679957,1208457937,1498033553,1465224349,1528346212,60155,70265,1599,52747
197,972452330,1672795238,1186205131,1567599283,1243640796,1439712792,1281664441,1454922250,40494,67455,6251,29963
198,810552292,1342207580,812848270,1608953614,1201957103,1423039316,1278194314,1453534198,497,51455,2269,27575
199,618988893,1835550189,391390009,1090710209,1018373817,1460016729,1198231952,1347110154,42864,76916,6277,18128
200,772761933,1866304797,421578941,1796068197,1124082891,1481158543,1419119432,1509904247,41968,68044,733,39613
201,206788103,1366529549,446866411,1123996051,1475039341,1551349833,1253265627,1506995091,2167,68775,7574,53942
202,1223026306,1773024829,1172830200,1366202262,1306592987,1517660563,1405764642,1537494894,9358,55000,5268,29374
203,760035149,1587828365,508959277,1161251771,1235719150,1503485794,1415847865,1508595619,57741,74352,4747,16904
204,498418938,1811436198,1176550440,1947062496,1472470178,1531244546,1493049557,1539476297,644,34558,9015,20319
205,235366151,1758825639,292919370,1770336282,1463372202,1527605355,1504998959,1531170357,1767,68695,9216,54268
206,512884018,1488967915,819337445,1347478671,1344089788,1434624856,1254724914,1444146438,9481,39859,4396,28850
207,1059058706,1707437789,1167760878,1362146805,1111981702,1478738306,1404697723,1537281511,3525,52668,7594,53946
208,620481967,1835848803,127654248,1334876007,1109815407,1478305047,1279951105,1454236915,8676,39376,4346,16583
209,622031321,1229094997,1125575100,1936867428,1217409841,1499823933,1470463709,1530441956,54987,73251,8457,42702
210,577308432,1827214096,825827354,1088599985,1385298235,1422324079,1193807003,1419779276,45223,69346,7197,18864
211,485553402,1147208246,40722067,1719896823,1219086646,1500159294,1465072259,1549356415,37722,66345,8647,20024
212,1162670813,1748882633,1001069769,1228793917,1438632114,1517709318,1363970467,1529136059,6437,69629,3013,53029
213,828306265,1090583114,858267812,1883405972,1393616214,1464340710,1206336587,1497609283,38279,75999,535,13535
214,416203813,1105598493,765741039,1590110721,1329436038,1522229174,1197699731,1272245276,60757,65691,198,13265
215,130454438,1335996083,904697658,1645693371,1392744502,1428281093,1290187936,1458331648,3767,36431,4088,40955
216,729475819,1857647571,442795341,1121553409,1163220682,1488986102,1442437279,1544829419,40053,76353,1896,27350
217,1010038522,1461899318,1166782849,1361364381,1377101364,1415766582,1272489499,1510839863,37082,75758,8261,54077
218,835793249,1878911057,480854503,1144388907,1422722330,1540886430,1445039121,1520272122,60718,75544,1840,40057
219,390451007,1090146809,819947812,1611793432,1180291821,1414373202,1187865071,1340890025,42723,68346,4591,53343
220,1180798059,1756133529,659159943,1251372171,1472996563,1492482742,1239580128,1504257992,62522,80846,4762,41224
221,576847668,1827121944,524937572,1170838748,1446103447,1520697853,1476816761,1532983178,19960,72336,287,26385
222,1278706077,1795296738,935562754,1417213856,1349807334,1438055382,1229506025,1502243169,64835,81311,1725,14487
223,1163155411,1749076471,1414264279,1704434771,1495305548,1540378694,1466090441,1507825247,2696,52334,2496,40317
224,1276075755,1966967559,1166640511,1361250511,1284161493,1513174265,1269238187,1449951749,52337,78809,3669,28415
225,1373488648,1986450140,554499352,1822652280,1224258625,1501193689,1238726122,1437746923,63583,81059,424,26468
226,472966590,1473000942,151198937,1344293882,1246957335,1441039407,1411334465,1538608857,10133,70369,4438,16657
227,1182324011,1373797311,175129314,1353866031,1324021225,1471864963,1272755008,1510892968,59983,75250,7339,53895
228,458481118,1130964876,373190205,1786390449,1451418441,1546625653,1392489802,1499252395,49461,71040,6296,29990
229,1270010970,1617882786,939204649,1419398993,940479209,1444437805,1276389459,1511619855,22225,72789,5371,41467
230,1273931443,1447083257,369086545,1431448924,1403538837,1503672009,1196453774,1420837982,52947,72435,7059,53839
231,1275203513,1793895713,192439020,1750240212,1121208037,1480583573,1233564616,1435682320,64423,77026,9330,43053
232,637959175,938305442,831979476,1093521683,1099742234,1476290410,1294330626,1515208090,9674,70278,111,26279
233,1372833072,1679576048,373409664,1433178171,1360022817,1444184673,1336806133,1523703193,27962,73934,228,52472
234,518871951,1167199375,473443271,1139942167,1433124495,1515506271,1386282594,1533598482,47272,70165,3647,40778
235,1001425487,1229078492,1167096266,1556133964,1404133611,1503909918,1426792048,1512973294,5928,69528,5772,53580
236,871854568,1632556135,680599259,1847872259,1206238928,1424752046,1280711106,1454540916,19243,72191,3648,16025
237,630155978,1837783606,393352729,1091887841,1399078305,1536157625,1195093475,1270160271,45901,69616,2304,14950
238,502943331,1157642203,225624598,1756877330,1457442810,1502636668,1348795084,1526100980,45053,77353,6725,42011
239,925465973,1411155789,1167588354,1362008785,1103719872,1477085940,1370740167,1490552541,3106,36034,9496,20703
240,376937351,1434589247,1260490662,1612170602,1093471236,1475036212,1286832421,1513708449,37410,75826,5719,53571
241,1126625588,1734464543,1344278560,1503360950,1397669249,1501324172,1356561784,1442108052,63809,76781,349,26423
242,39685155,1299688368,331090864,1054530722,1300923768,1516526720,1191203126,1494582590,57339,79811,5912,53608
243,351291529,1066651121,603036096,1832359628,1367011612,1489061119,1204392581,1497220481,58304,74579,848,39659
244,182481056,1748248620,480921305,1144428987,1380124302,1494306195,1464584429,1485753034,62998,80942,4508,28918
245,686781077,1558526738,1089055231,1719436399,1507268218,1532531914,1460181362,1548378238,2225,35507,2966,27992
246,345517603,1422021349,485735251,1147317355,1385375165,1496406539,1461791980,1505246170,42058,76754,3404,28256
247,1152900548,1547616534,1035049982,1255978088,1427225515,1513146679,1202478047,1496837575,53712,66398,6666,18439
248,817106356,1610656849,505583058,1159226040,1474711275,1532140983,1473222841,1550986533,37628,75868,2631,15211
249,170725055,1352104328,314396659,1774631739,1381993039,1457366805,1256027677,1507547501,17360,30974,21,52429
250,152803578,1344935739,959063871,1431314527,1198743619,1421753920,1352925902,1483426835,6377,37997,6586,18375
251,1259493533,1435532929,1286448418,1627745256,1122950207,1480932007,1191825938,1494707154,25436,73428,1155,14031
252,623561734,1230013244,1158668986,1747281901,1474126943,1493387046,1374972781,1531336521,46134,77570,3637,53153
253,1302668579,1972286123,191920126,1360582357,1362816571,1445860925,1228794426,1502100850,11508,55860,8294,42638
254,1195679285,1762086020,1176174802,1561581086,1230158291,1434319790,1275328313,1452387800,55510,67478,4632,41172
255,1041480813,1480764693,131818229,1336541597,955235779,1447389119,1195326294,1420386990,7214,22857,2752,27864
256,199410434,1751634494,484260260,1146432360,1451897927,1546721551,1479470691,1552236103,47321,77805,4733,53373
257,516068587,1165517357,524898794,1170815480,1356082134,1527558390,1455578744,1524487970,29683,74279,1677,27219
258,403984004,1792549208,1265988215,1790209592,1450348187,1522395749,1503855524,1557113068,79,68359,4243,53275
259,1194614696,1572645022,358647665,1427273372,1045890501,1465520065,1403635125,1436993591,51832,71989,262,13316
260,501474187,1156760717,209721178,1753696646,1260976990,1508537362,1480304909,1498329418,35416,75424,7264,42226
261,813590245,1344030351,327940168,1414990375,1251917368,1506725440,1188053145,1493952593,7568,54284,9109,31679
262,1024486088,1693608743,1173797198,1366975861,1368377107,1449197247,1283599503,1455696276,21759,72695,2904,40482
263,1195760649,1384546621,1010457376,1236304003,1393002123,1499457324,1205019394,1278101006,13100,27566,78,13169
264,466911798,1470579027,444193135,1122392085,1185568783,1493455723,1409749285,1506156187,47485,70252,5200,29334
265,1147046404,1941161688,1189312374,1759539255,1009112494,1458164462,1319124164,1469906138,48885,78121,3080,28062
